cik,zip,state,city
65433,21046,MD,COLUMBIA
65759,75040,TX,GARLAND
65770,98052,WA,REDMOND
65873,72202,AR,LITTLE ROCK
65984,70113,LA,NEW ORLEANS
66004,08830,NJ,ISELIN
66025,45102-2607,OH,AMELIA
66117,45202-4203,OH,CINCINNATI
66382,49464-0302,MI,ZEELAND
66479,01821,MA,BILLERICA
66570,16066,PA,CRANBERRY TOWNSHIP
66740,55144-1000,MN,ST PAUL
66756,55802-2093,MN,DULUTH
66895,39194,MS,YAZOO CITY
66960,64105-1711,MO,KANSAS CITY
67160,01111,MA,SPRINGFIELD
67215,33401,FL,WEST PALM BEACH
67279,55428,MN,MINNEAPOLIS
67347,53403,WI,RACINE
67472,60532,IL,LISLE
67590,07102-4077,NJ,NEWARK
67625,07733,NJ,HOLMDEL
67716,58503,ND,BISMARCK
67813,04101,ME,PORTLAND
67887,14052,NY,EAST AURORA
67931,60015,IL,BANNOCKBURN
68145,44128,OH,CLEVELAND
68270,37804,TN,MARYVILLE
68505,60661,IL,CHICAGO
68709,55344-2290,MN,EDEN PRAIRIE
68726,65802,MO,SPRINGFIELD
69407,02109-1820,MA,BOSTON
69422,90025,CA,LOS ANGELES
69488,44301,OH,AKRON
69499,15317,PA,CANONSBURG
69633,11701,NY,AMITYVILLE
69671,55435-0355,MN,SOUTH MINNEAPOLIS
69680,03063,NH,NASHUA
69752,10001,NY,NEW YORK
69891,33324,FL,FT. LAUDERDALE
69970,44114,OH,CLEVELAND
70033,30329,GA,ATLANTA
70145,14221-5887,NY,WILLIAMSVILLE
70318,75254,TX,DALLAS
70415,21044,MD,COLUMBIA
70487,68508,NE,LINCOLN
70530,95052-8090,CA,SANTA CLARA
70684,78752-1602,TX,AUSTIN
70793,11716,NY,BOHEMIA
70858,28255,NC,CHARLOTTE
70866,30308,GA,ATLANTA
71023,37214-1000,TN,NASHVILLE
71241,08818-4005,NJ,EDISON
71478,94566,CA,PLEASANTON
71516,90071,CA,LOS ANGELES
71525,16366,PA,WARREN
71691,10018,NY,NEW YORK
71701,85756,AZ,TUCSON
71829,77381,TX,THE WOODLANDS
71958,53202,WI,MILWAUKEE
72020,60563,IL,NAPERVILLE
72162,75240-2620,TX,DALLAS
72205,34474,FL,OCALA
72207,77070,TX,HOUSTON
72243,23607,VA,NEWPORT NEWS
72331,44145,OH,WESTLAKE
72333,98101-4407,WA,SEATTLE
72418,55343,MN,MINNETONKA
72573,07652,NJ,PARAMUS
72633,03431,NH,KEENE
72741,01104,MA,SPRINGFIELD
72903,55401,MN,MINNEAPOLIS
72911,L4V 1R9,A6,MISSISSAUGA
72971,94105,CA,SAN FRANCISCO
73020,97204,OR,PORTLAND
73088,57108,SD,SIOUX FALLS
73124,60603,IL,CHICAGO
73309,28211,NC,CHARLOTTE
73756,77086,TX,HOUSTON
73822,19020,PA,BENSALEM
73887,77042,TX,HOUSTON
73952,45014,OH,FAIRFIELD
74046,60611,IL,CHICAGO
74058,53219,WI,MILWAUKEE
74208,80129,CO,HIGHLANDS RANCH
74260,60601,IL,CHICAGO
74303,63105,MO,CLAYTON
74585,13421,NY,ONEIDA
74658,80112-3924,CO,CENTENNIAL
74663,02109,MA,BOSTON
74673,80112-3924,CO,CENTENNIAL
74676,80112-3924,CO,CENTENNIAL
74691,06050,CT,NEW BRITAIN
74783,51503,IA,COUNCIL BLUFFS
75042,54901,WI,OSHKOSH
75129,56538-0496,MN,FERGUS FALLS
75208,33602,FL,TAMPA
75362,98004,WA,BELLEVUE
75398,10018,MD,NEW YORK
75488,94612,CA,OAKLAND
75659,98168,WA,SEATTLE
75677,60045,IL,LAKE FOREST
75681,10604,NY,WHITE PLAINS
75829,11050,NY,PORT WASHINGTON
76174,33773,FL,LARGO
76210,90025,CA,LOS ANGELES
76267,11747,NY,MELVILLE
76282,44124,OH,CLEVELAND
76321,77046,TX,HOUSTON
76334,44124-4141,OH,CLEVELAND
76605,46516,IN,ELKHART
76721,03801-3852,NH,PORTSMOUTH
77106,18916,PA,DANBORO
77159,77084,TX,HOUSTON
77281,19103,PA,PHILADELPHIA
77360,TW13QS,X0,LONDON
77385,60601-6207,IL,CHICAGO
77449,19132,PA,PHILADELPHIA
77476,10577,NY,PURCHASE
77543,91342,CA,SYLMAR
77551,06851,CT,NORWALK
77597,63105,MO,CLAYTON
77776,08054,NJ,MT. LAUREL
77877,80202,CO,DENVER
78003,10001-2192,NY,NEW YORK
78066,85004-3089,AZ,PHOENIX
78128,19010-3489,PA,BRYN MAWR
78239,10017,NY,NEW YORK
78460,28202,NC,CHARLOTTE
78536,60606,IL,CHICAGO
78713,02109,MA,BOSTON
78749,30022,GA,ALPHARETTA
78758,02109,MA,BOSTON
78814,06484,CT,SHELTON
78890,23226-1800,VA,RICHMOND
78966,48837,MI,GRAND LEDGE
79225,02021,MA,CANTON
79282,32114,FL,DAYTONA BEACH
79661,90025,CA,LOS ANGELES
